AcresBurned	Year	month	Location	Name
920	2015	06	Road 222 and Tunoi Place, north of Auberry	Corrine Fire
860	2015	10	off Hwy 99 & Meridian Rd, north of Chico	Meridian Fire
673	2015	09	Off of Elk Mountain Road and Mount Dinger Road, north of Upper Lake	Elk Fire
670	2015	10	Cienega Rd & Limekiln Rd, south of Hollister	Cienega Fire
543	2015	08	Highway 74 east of Highway 371	Anza Fire
509	2015	02	Point Ranch, South of Bridgeport	Van Dyke Fire
500	2015	06	Rd 632, 2 miles from Hwy 41, Community of Calvin Crest	Sky Fire
430	2015	07	Globe Dr and Mountain Rd, Springville	Triple Fire
415	2015	09	north rim of Yosemite Valley, east of Yosemite Falls	Tenaya Fire
415	2015	06	Southbound Interstate 5, North of Calgrove, Santa Clarita 	Calgrove Fire 
400	2015	07	Swedes Flat Road, 3 miles north of Bangor	Swedes Fire
374	2015	08	off Lincoln Ave, in the Whittier Narrows Park, City of Montebello	Lincoln Fire
355	2015	07	off Ione Rd & Hwy 16, east of Rancho Murietta	Ione Fire
300	2015	08	Lake Hughes Rd at Warm Springs Rehab Center	Warm Fire
300	2015	06	near Corral Hollow Road and the Alameda-San Joaquin county line.	Site Fire
282	2015	08	Maricopa Highway 33 & Chorro Grande Canyon, north of Ojai 	Chorro Fire
275	2015	05	off Hwy 152 near the O’Neill Forebay 	Forebay Fire
242	2015	05	Christensen Rd and Burns Rd in the Altamont Pass area	Christensen Fire
227	2015	07	throughout Mendocino National Forest	Mendocino National Forest Lightning Complex
215	2015	09	off Hwy 152 at Dinosaur Point, 3 miles west of San Luis Reservoir	Pacheco Fire
215	2015	08	off Peterson Lane and Adobe Creek Road, near Kelseyville	Peterson Fire
214	2015	07	Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County)	241 Fire
212	2015	07	China Gulch, Happy Valley, Southwest of Redding	China Fire
211	2015	06	off Burton Mesa Blvd in Lompoc	Mesa Fire
204	2015	07	off Hwy120 and Sprague Rd near Groveland 	Big Creek Fire
200	2015	07	Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines	Pines Fire 
200	2015	02	Approx. 18 miles northeast of McCloud, just south of Horse Peak	Stephens Fire
195	2015	07	Vasco Rd,  3 miles southwest of Byron	Vasco Fire
186	2015	08	Rustic Hills Drive in the Wood Ranch area Simi Valley	Rustic Fire
181	2015	07	5 miles North of the community of Montague on Cooley Rd	Cooley Fire
171	2015	06	Wildcat Canyon Rd and Barona Rd, east of Fernbrook	Wildcat Fire
170	2015	09	Squaw Valley Road and Sand Creek Road	Creek Fire
170	2015	07	off Black Butte Rd, near Black Butte Lake	Black Fire
167	2015	08	southeast of Woody, south of Poso Flat Road & Burke Creek	Flat Fire 
167	2015	07	On Palomar Mountain, north of the Palomar Observatory	Cutca Fire
164	2015	06	Acacia Way and Corporation Court, Santa Paula  	River Fire
158	2015	07	off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan	Queen Fire
158	2015	06	UC Field Station, Scott Forbes Road	Cook Fire
150	2015	07	Mix Canyon Rd & Sky Ranch Road, northwest of Vacaville	Sky Fire
150	2015	07	off Merwin St in Moreno Valley 	Merwin Fire
146	2015	08	Saddle Mountain Road, 6 miles NE Shelter Cove	Horse Fire
137	2015	04	East of Taylorsville	Ward Fire
135	2015	06	Red Tail Road and Road 211, south of O'Neal	Red Fire
128	2015	08	Democrat Gulch, west of Weaverville 	Democrat Fire
122	2015	06	Jack Tone Rd & Collier Rd, east of Herald	Collier Fire
116	2015	07	on Splawn Mountain, northeast of Bieber	3-11 Fire
114	2015	08	Marks Ranch Rd south of Angels Camp	Mark Fire
112	2015	08	south of Hwy 108 & Tulloch Rd, south of Lake Tulloch	Tulloch Fire
111	2015	06	near Shinn Mountain, 10 miles southeast of Ravendale	Shinn Fire
110	2015	09	Off Apple Rd in Wilton	Apple Fire
110	2015	08	off Highwat 36 near Paynes Creek	36 Fire
